Date,Open,High,Low,Close,Volume
2012-10-01,840.0,842.3,829.25,833.5,1991469.0
2012-10-02,837.225,847.875,831.75,839.8,3499054.0
2012-10-03,834.45,853.45,834.25,846.1,5006639.0
2012-10-04,850.55,858.9,849.1,852.9,2886232.0
2012-10-05,859.9,862.0,682.35,857.8,3592138.0
2012-10-08,854.55,854.55,816.25,819.4,4775793.0
2012-10-09,825.5,826.7,813.1,815.3,2651961.0
2012-10-10,811.0,822.3,807.4,816.0,2144325.0
2012-10-11,819.0,822.0,809.3,819.95,2710338.0
2012-10-12,818.8,826.4,816.05,818.9,2429045.0
2012-10-15,819.0,829.9,819.0,823.05,2555825.0
2012-10-16,838.9,839.95,810.0,812.45,5068137.0
2012-10-17,816.05,817.4,801.55,805.15,4780912.0
2012-10-18,807.25,816.0,797.0,811.3,6080686.0
2012-10-19,807.7,810.5,799.35,802.8,2891282.0
2012-10-22,795.2,816.95,791.7,815.6,3237961.0
2012-10-23,813.5,814.8,804.8,809.95,2170107.0
2012-10-24,811.8,816.75,806.0,810.175,3148778.0
2012-10-25,810.1,818.7,807.2,810.4,4127449.0
2012-10-26,803.2,806.0,792.15,798.95,1936406.0
2012-10-29,802.35,814.4,802.35,811.2,2511242.0
2012-10-30,810.0,811.8,799.15,803.25,2134370.0
2012-10-31,803.15,807.35,798.0,805.5,2153819.0
2012-11-01,795.0,808.8,788.7,807.1,4201156.0
2012-11-02,812.0,814.9,802.5,807.95,2639614.0
2012-11-05,803.65,808.95,801.85,806.15,1158128.0
2012-11-06,804.0,807.4,796.25,805.45,3531643.0
2012-11-07,802.0,805.3,798.0,800.85,2381384.0
2012-11-08,793.0,798.3,789.75,796.6,2837737.0
2012-11-09,793.35,803.5,785.0,787.65,2421910.0
2012-11-12,785.85,789.4,779.0,786.65,2894127.0
2012-11-13,789.15,792.2,783.4,789.6,765533.0
2012-11-14,789.0,790.5250000000001,780.2249999999999,787.1,2125986.5
2012-11-15,788.85,788.85,777.05,784.6,3486440.0
2012-11-16,787.4,792.65,771.0,775.15,3281968.0
2012-11-19,775.25,778.25,761.35,774.3,4737114.0
2012-11-20,780.7,780.7,762.2,765.35,2156459.0
2012-11-21,766.5,773.9,761.1,771.2,1968764.0
2012-11-22,773.05,773.7,761.4,765.85,2397131.0
2012-11-23,766.0,775.8,766.0,773.75,1707395.0
2012-11-26,774.9,779.45,771.0,773.65,1038412.0
2012-11-27,777.0,788.0,774.0,786.8,2470660.0
2012-11-28,781.5,796.0,778.325,792.55,3477074.5
2012-11-29,786.0,804.0,782.65,798.3,4483489.0
2012-11-30,796.05,808.0,790.0,793.7,4170481.0
2012-12-03,795.0,807.0,789.75,804.0,2359017.0
2012-12-04,806.15,825.7,806.0,824.7,3492574.0
2012-12-05,828.25,837.1,820.6,832.6,3089629.0
2012-12-06,835.95,845.85,822.0,843.9,2636685.0
2012-12-07,841.05,849.7,830.45,834.6,3014740.0
2012-12-10,834.6,837.95,821.25,828.3,1869316.0
2012-12-11,832.0,838.35,814.5,820.05,3715258.0
2012-12-12,825.0,834.8,819.35,832.6,2314044.0
2012-12-13,832.6,841.0,830.4,834.25,2652270.0
2012-12-14,834.5,846.8,828.5,839.25,2045918.0
2012-12-17,834.5,844.4,831.0,834.15,1656401.0
2012-12-18,834.5,839.45,826.0,831.4,1827793.0
2012-12-19,835.2,843.05,834.05,839.5,1993015.0
2012-12-20,841.95,841.95,829.5,837.85,2189272.0
2012-12-21,833.0,834.5,822.2,825.25,2149301.0
2012-12-24,825.6,827.35,815.6,820.7,1303847.0
2012-12-25,823.8,831.625,818.8,824.475,1317532.5
2012-12-26,822.0,835.9,822.0,828.25,1331218.0
2012-12-27,830.3,832.0,815.1,817.7,3680616.0
2012-12-28,823.5,846.0,821.55,840.25,3326023.0
2012-12-31,840.3,849.8,836.8,839.55,2224287.0
2013-01-01,844.0,846.6,839.1,840.7,1561532.0
2013-01-02,844.0,856.0,842.55,847.95,3072592.0
2013-01-03,848.6,862.0,844.6,860.75,3946902.0
2013-01-04,861.9,864.6,853.55,861.85,3041614.0
2013-01-07,865.7,871.0,851.8,856.6,3498964.0
2013-01-08,855.1,858.1,847.9,850.65,3194175.0
2013-01-09,852.4,859.85,848.65,852.7,3902332.0
2013-01-10,857.75,858.95,847.0,850.05,2112066.0
2013-01-11,852.5,853.0,836.25,839.9,1840162.0
2013-01-14,841.0,853.0,839.0,847.55,1614000.0
2013-01-15,846.15,851.8,838.0,847.15,2374487.0
2013-01-16,846.05,870.9,846.05,861.35,4469088.0
2013-01-17,862.1,893.55,859.75,890.0,5055697.0
2013-01-18,895.0,902.95,885.65,900.2,5201345.0
2013-01-21,938.1,955.0,918.05,919.95,10047910.0
2013-01-22,920.0,930.7,915.55,920.05,4266371.0
2013-01-23,922.1,928.8,916.2,923.05,2674869.0
2013-01-24,925.0,928.35,907.0,915.55,3071712.0
2013-01-25,916.25,917.35,905.1,912.2,3220389.0
2013-01-28,911.35,913.15,895.0,897.55,3063239.0
2013-01-29,895.0,902.0,880.1,882.85,3529188.0
2013-01-30,887.5,903.4,887.5,899.4,4032649.0
2013-01-31,896.65,898.0,883.1,886.65,3825017.0
2013-02-01,891.35,899.8,883.6,894.0,1863597.0
2013-02-04,896.05,901.0,884.1,886.7,3130914.0
2013-02-05,884.0,885.9,873.0,874.75,2219184.0
2013-02-06,880.45,882.9,870.8,875.65,2257604.0
2013-02-07,871.6,882.0,868.35,872.9,1952688.0
2013-02-08,869.95,874.0,857.0,863.55,2190791.0
2013-02-11,865.0,875.0,860.6,868.4,1904074.0
2013-02-12,868.6,880.35,865.2,875.45,2223818.0
2013-02-13,884.0,888.0,872.5,879.0,2407720.0
2013-02-14,880.0,883.45,851.0,856.05,2808132.0
2013-02-15,854.9,857.4,834.1,845.8,3289431.0
2013-02-18,848.0,854.6,843.2,847.5,1213793.0
2013-02-19,849.0,855.0,834.25,848.4,2212004.0
2013-02-20,857.95,878.85,856.6,874.8,3399774.0
2013-02-21,869.0,876.8,853.65,859.2,3706369.0
2013-02-22,858.5,872.0,858.0,862.6,2223041.0
2013-02-25,864.0,864.95,851.0,854.35,2258056.0
2013-02-26,849.7,849.7,818.75,823.5,3080139.0
2013-02-27,830.0,840.95,827.15,831.3,4048013.0
2013-02-28,837.2,839.55,805.75,813.85,6324405.0
2013-03-01,816.0,818.5,805.5,810.4,3178835.0
2013-03-04,808.9,818.25,804.9,812.6,3416863.0
2013-03-05,819.1,834.45,819.1,826.35,3008011.0
2013-03-06,831.9,838.4,826.7,835.25,2463693.0
2013-03-07,831.25,841.5,824.05,836.5,2406954.0
2013-03-08,843.0,854.7,840.0,851.3,2315993.0
2013-03-11,852.1,860.6,840.05,844.5,2415898.0
2013-03-12,850.5,854.5,843.55,847.85,1954963.0
2013-03-13,842.2,856.6,840.2,845.0,2149116.0
2013-03-14,844.0,863.45,835.25,860.05,3380827.0
2013-03-15,864.75,869.4,838.3,843.65,2924340.0
2013-03-18,835.0,843.5,830.8,834.3,1833998.0
2013-03-19,836.6,839.0,811.9,825.0,4107716.0
2013-03-20,829.4,829.8,813.35,822.7,4612611.0
2013-03-21,825.0,832.8,804.75,812.6,3808222.0
2013-03-22,808.3,821.0,804.35,810.6,2714879.0
