Date,Open,High,Low,Close,Volume
2012-10-01,268.0,276.2,268.0,274.7,9420145.0
2012-10-02,271.5,276.1,269.1,274.1,9278532.0
2012-10-03,275.0,276.0,270.2,273.5,9136919.0
2012-10-04,275.25,279.0,273.15,274.3,7581304.0
2012-10-05,276.5,282.5,219.45,280.55,17095335.0
2012-10-08,281.45,283.7,271.0,272.45,7590848.0
2012-10-09,275.2,278.25,266.1,269.7,7864528.0
2012-10-10,267.1,273.0,266.6,267.45,7367679.0
2012-10-11,268.7,274.9,265.2,273.8,7852281.0
2012-10-12,273.8,274.35,269.9,271.25,7520471.0
2012-10-15,270.65,271.25,266.2,269.4,4752062.0
2012-10-16,265.0,265.95,261.2,262.3,9523954.0
2012-10-17,265.0,267.7,261.0,264.9,7572668.0
2012-10-18,266.0,271.8,266.0,270.25,6627970.0
2012-10-19,270.0,273.4,266.55,269.0,3928926.0
2012-10-22,267.5,268.7,264.6,267.05,4470904.0
2012-10-23,266.0,267.15,263.1,264.6,3120635.0
2012-10-24,265.3,266.35,261.675,262.925,5326306.0
2012-10-25,264.6,265.55,260.25,261.25,7531977.0
2012-10-26,260.4,264.2,259.1,261.5,3586484.0
2012-10-29,262.1,264.35,254.2,256.75,4690571.0
2012-10-30,257.15,257.75,245.0,247.65,9560952.0
2012-10-31,248.0,255.3,247.75,254.75,9122998.0
2012-11-01,257.0,269.55,257.0,267.45,10469697.0
2012-11-02,272.0,272.0,265.1,270.05,11070892.0
2012-11-05,270.0,274.7,266.55,269.8,7809272.0
2012-11-06,269.0,272.45,265.1,266.95,9567826.0
2012-11-07,266.8,273.35,266.55,269.35,9676685.0
2012-11-08,267.5,285.5,265.3,283.95,24412617.0
2012-11-09,284.0,284.6,279.1,280.6,7187592.0
2012-11-12,278.95,283.9,278.1,280.75,6932770.0
2012-11-13,281.0,281.8,276.75,277.55,1145124.0
2012-11-14,277.0,278.3,273.275,274.9,7107010.0
2012-11-15,273.0,274.8,269.8,272.25,13068896.0
2012-11-16,273.0,274.3,263.0,265.0,7322124.0
2012-11-19,265.25,267.15,262.0,264.1,6616959.0
2012-11-20,268.05,270.35,261.7,266.1,6864096.0
2012-11-21,266.9,268.0,264.0,265.5,5284700.0
2012-11-22,264.25,268.4,257.4,258.75,7511823.0
2012-11-23,256.0,261.85,256.0,260.5,8493777.0
2012-11-26,262.0,267.2,261.75,263.2,7629670.0
2012-11-27,264.35,267.9,263.75,266.65,8474246.0
2012-11-28,266.175,273.79999999999995,265.675,272.54999999999995,14242213.5
2012-11-29,268.0,279.7,267.6,278.45,20010181.0
2012-11-30,278.0,284.0,271.95,273.45,70995059.0
2012-12-03,273.0,276.8,271.1,272.1,9636654.0
2012-12-04,273.25,275.4,269.3,271.55,6715392.0
2012-12-05,272.1,279.0,272.1,274.95,10577309.0
2012-12-06,277.3,281.95,273.85,280.85,10561758.0
